"filename", "language", "JSON", "SCSS", "JavaScript", "TypeScript", "HTML", "XML", "comment", "blank", "total"
"d:\02Programacion\06Ionic5\3-componentes\src\app\pages\inicio\inicio.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\02Programacion\06Ionic5\3-componentes\src\app\pages\inicio\inicio.page.spec.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 6, 25
"d:\02Programacion\06Ionic5\3-componentes\src\app\pages\inicio\inicio.page.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 7, 45
"d:\02Programacion\06Ionic5\3-componentes\src\assets\shapes.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\02Programacion\06Ionic5\3-componentes\src\environments\environment.prod.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\02Programacion\06Ionic5\3-componentes\src\environments\environment.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 11, 3, 17
"d:\02Programacion\06Ionic5\3-componentes\src\global.scss", "SCSS", 0, 10, 0, 0, 0, 0, 13, 4, 27
"d:\02Programacion\06Ionic5\3-componentes\src\index.html", "HTML", 0, 0, 0, 0, 18, 0, 1, 8, 27
"d:\02Programacion\06Ionic5\3-componentes\src\main.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 4, 13
"d:\02Programacion\06Ionic5\3-componentes\src\polyfills.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 55, 10, 67
"d:\02Programacion\06Ionic5\3-componentes\src\test.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 4, 4, 21
"d:\02Programacion\06Ionic5\3-componentes\src\theme\variables.scss", "SCSS", 0, 172, 0, 0, 0, 0, 24, 36, 232
"d:\02Programacion\06Ionic5\3-componentes\src\zone-flags.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 4, 1, 6
"d:\02Programacion\06Ionic5\3-componentes\tsconfig.app.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 1, 19
"d:\02Programacion\06Ionic5\3-componentes\tsconfig.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 23
"d:\02Programacion\06Ionic5\3-componentes\tsconfig.spec.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 18
"d:\02Programacion\06Ionic5\3-componentes\tslint.json", "JSON", 149, 0, 0, 0, 0, 0, 0, 0, 149
"Total", "-", 14222, 182, 52, 790, 121, 1, 211, 268, 15847
